run_id,timestamp,episode,agent_id,reward,avg_reward,actor_loss,critic_loss,goals,collisions,offroad,timeouts,mean_velocity,route_completion,n_npcs,n_walkers,curriculum_prob,rollout_steps
train_20260904_073606,2026-09-04T08:34:05,261,agent_0,-4359.54975865329,-2179.8312227133115,-0.006047723721712828,676.3172737121582,0,12,1,0,3.3086735503467444,0.09679515844347386,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:34:05,261,agent_1,-0.11268677333241306,-2179.8312227133115,-0.006963655911386013,676.3172737121582,0,19,0,0,3.249631063752041,0.04019608795014051,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:37:19,262,agent_0,2056.9732939702817,782.0409443197605,-0.005734006594866514,210.45511569976807,0,12,0,0,3.2696504270299522,0.0696741772885342,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:37:19,262,agent_1,-492.89140533076085,782.0409443197605,-0.004813069477677345,210.45511569976807,0,5,0,0,1.6991728603023193,0.05837369476337262,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:40:30,263,agent_0,3458.4147239672825,1879.0791334409328,-0.005062682460993529,166.14959964752197,0,12,0,0,3.3104071516664297,0.09398561009849749,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:40:30,263,agent_1,299.74354291458326,1879.0791334409328,-0.004427934158593416,166.14959964752197,0,2,0,0,0.8010466548177633,0.05089445323948327,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:44:17,264,agent_0,-752.8777872784183,272.38881659054584,-0.0059773076325654985,327.1484691619873,0,14,0,0,2.7300293355103364,0.0523748863951734,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:44:17,264,agent_1,1297.65542045951,272.38881659054584,-0.005521754920482636,327.1484691619873,0,1,0,0,0.7949479403558454,0.05343070729536903,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:47:38,265,agent_0,6356.488652969245,5929.0178026805415,-0.005920893047004938,599.7515922546387,1,2,0,0,4.367401796638803,0.9901248817925328,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:47:38,265,agent_1,5501.546952391838,5929.0178026805415,-0.00704741170629859,599.7515922546387,0,8,0,0,5.490590569644139,0.40417489759242675,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:51:01,266,agent_0,-341.68129203349827,753.8981718780316,-0.005283497367054224,320.6688568115234,0,13,0,0,2.2402740518440543,0.06036837904614656,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:51:01,266,agent_1,1849.4776357895614,753.8981718780316,-0.0043531741015613076,320.6688568115234,0,1,0,0,1.958782866557727,0.18795668723830972,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:54:52,267,agent_0,3778.0529422717814,1633.0792769983154,-0.004212513752281666,184.57825393676757,0,11,0,0,3.4458723346241604,0.08367734427876306,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:54:52,267,agent_1,-511.8943882751506,1633.0792769983154,-0.002978085819631815,184.57825393676757,0,1,0,0,0.4471543174097464,0.12308562760847153,20,20,0.7,2048
train_20260904_073606,2026-09-04T08:58:24,268,agent_0,93.00516788070568,88.21888158631259,-0.0061428875662386416,329.38535385131837,0,10,0,0,1.939776558583808,0.05820536895971562,20,20,0.7,2048
